Translation time: 0.01 seconds, sign v
Translation time: 3.54 seconds, sign x
Translation time: 0.01 seconds, sign x
Translation time: 0.02 seconds, sign x
Translation time: 0.00 seconds, sign x
Translation time: 3.42 seconds, sign y
Translation time: 0.01 seconds, sign y
Translation time: 0.01 seconds, sign y
Translation time: 0.01 seconds, sign y
Translation time: 0.01 seconds, sign y
Translation time: 4.26 seconds, sign z
Translation time: 0.01 seconds, sign z
Translation time: 0.03 seconds, sign z
Translation time: 0.01 seconds, sign z
Translation time: 0.00 seconds, sign z
Translation time: 0.01 seconds, sign z
